card_type,title,image_url,image_alt,price,full_title
Gift Fund,Plates and Bowls,https://m.media-amazon.com/images/G/01/img18/home/awr/desktop/anytime.jpg,Plates and Bowls,300.0,
Registry Product,"Bayting Bamboo Drawer Organizer Set, 5-Piece Stora...","https://m.media-amazon.com/images/I/71jy-4rUzAL._SR500,500_.jpg","Bayting Bamboo Drawer Organizer Set, 5-Piece Storage Trays for Kitchen, Bathroom, Office Desk, Makeup & Junk Drawers,Ute",19.99,"Bayting Bamboo Drawer Organizer Set, 5-Piece Storage Trays for Kitchen, Bathroom, Office Desk, Makeup & Junk Drawers,Utensils"
Registry Product,Norme 5 Quart Stainless Steel Silver Colander and ...,"https://m.media-amazon.com/images/I/81onVCQW0HL._SR500,500_.jpg","Norme 5 Quart Stainless Steel Silver Colander and 3 Pcs Silver Fine Mesh Strainer, Stainless Steel Pasta Rice Food Metal",26.99,"Norme 5 Quart Stainless Steel Silver Colander and 3 Pcs Silver Fine Mesh Strainer, Stainless Steel Pasta Rice Food Metal Strainer with Handles, Easy Clean and Dishwasher Safe"
Registry Product,"Winco Stainless Steel Ladle, 8-Ounce","https://m.media-amazon.com/images/I/61ivK7wBIgL._SR500,500_.jpg","Winco Stainless Steel Ladle, 8-Ounce",9.93,"Winco Stainless Steel Ladle, 8-Ounce"
Registry Product,"Cuisinel Cast Iron Skillet with Lid - 12""-inch Pre...","https://m.media-amazon.com/images/I/81DYJU-JIWL._SR500,500_.jpg","Cuisinel Cast Iron Skillet with Lid - 12""-inch Pre-Seasoned Covered Frying Pan Set + Silicone Handle & Lid Holders + Scr",58.99,"Cuisinel Cast Iron Skillet with Lid - 12""-inch Pre-Seasoned Covered Frying Pan Set + Silicone Handle & Lid Holders + Scraper/Cleaner - Indoor/Outdoor, Oven, Stovetop, Camping Fire, Grill Safe Cookware"
Registry Product,"Silicone Freezer Trays with Lids, 1-Cup Soup Conta...","https://m.media-amazon.com/images/I/71LGyzdVZQL._SR500,500_.jpg","Silicone Freezer Trays with Lids, 1-Cup Soup Container Style Ice Cube Trays for Freezer - Leakproof, Dishwasher,Oven Saf",13.99,"Silicone Freezer Trays with Lids, 1-Cup Soup Container Style Ice Cube Trays for Freezer - Leakproof, Dishwasher,Oven Safe, Stackable, Ideal for Frozen Broth, Leftovers & Meal Prep, BPA Free 2 Pack"
Registry Product,Energizer Power Plus Rechargeable AAA Batteries (4...,"https://m.media-amazon.com/images/I/71WGk3MdJHL._SR500,500_.jpg","Energizer Power Plus Rechargeable AAA Batteries (4 Pack), 800mAh Triple A Batteries",9.29,"Energizer Power Plus Rechargeable AAA Batteries (4 Pack), 800mAh Triple A Batteries"
Registry Product,Energizer Recharge Pro Rechargeable AAA and AA Bat...,"https://m.media-amazon.com/images/I/715qIffyJuL._SR500,500_.jpg","Energizer Recharge Pro Rechargeable AAA and AA Battery Charger With 4 NiMh Rechargeable AA Batteries, Provides a Full Ch",16.99,"Energizer Recharge Pro Rechargeable AAA and AA Battery Charger With 4 NiMh Rechargeable AA Batteries, Provides a Full Charge in 3 Hours"
Registry Product,ZIKIBL Stone Bath Mat Diatomaceous Earth Shower Ma...,"https://m.media-amazon.com/images/I/71aBreay2OL._SR500,500_.jpg",ZIKIBL Stone Bath Mat Diatomaceous Earth Shower Mat Non-Slip Super Absorbent Diatomite Stone Mats for Bathroom Floor Qui,29.99,ZIKIBL Stone Bath Mat Diatomaceous Earth Shower Mat Non-Slip Super Absorbent Diatomite Stone Mats for Bathroom Floor Quick-Drying Easy to Clean (24''*16'' Grey)
Registry Product,KIVY Large Butter Dish with Lid - Fits 2 Butter St...,"https://m.media-amazon.com/images/I/71ihVStuFJL._SR500,500_.jpg","KIVY Large Butter Dish with Lid - Fits 2 Butter Sticks and Wider Sizes (Kerrygold, European Styles, Eastern, Western) - ",25.99,"KIVY Large Butter Dish with Lid - Fits 2 Butter Sticks and Wider Sizes (Kerrygold, European Styles, Eastern, Western) - 2 Stick Butter Dish - Glass & Bamboo"
